RA,DA,RB,DB,R,id,participant_number
40,0,55,62,0,5,412729-412720-42945109
11,0,30,7,1,5,412729-412720-42945109
67,0,75,119,0,5,412729-412720-42945109
34,0,35,186,0,5,412729-412720-42945109
27,0,50,21,1,5,412729-412720-42945109
69,0,85,91,0,5,412729-412720-42945109
49,0,60,89,0,5,412729-412720-42945109
80,0,85,157,0,5,412729-412720-42945109
24,0,35,29,1,5,412729-412720-42945109
33,0,80,14,1,5,412729-412720-42945109
28,0,30,179,0,5,412729-412720-42945109
34,0,50,30,1,5,412729-412720-42945109
25,0,30,80,0,5,412729-412720-42945109
41,0,75,20,1,5,412729-412720-42945109
54,0,60,111,0,5,412729-412720-42945109
54,0,80,30,1,5,412729-412720-42945109
22,0,25,136,0,5,412729-412720-42945109
20,0,55,7,1,5,412729-412720-42945109
54,0,55,117,0,6,412729-412720-43150472
55,0,75,61,1,6,412729-412720-43150472
19,0,25,53,1,6,412729-412720-43150472
31,0,85,7,1,6,412729-412720-43150472
14,0,25,19,1,6,412729-412720-43150472
47,0,50,160,0,6,412729-412720-43150472
15,0,35,13,1,6,412729-412720-43150472
25,0,60,14,1,6,412729-412720-43150472
78,0,80,162,0,6,412729-412720-43150472
40,0,55,62,1,6,412729-412720-43150472
11,0,30,7,1,6,412729-412720-43150472
67,0,75,119,1,6,412729-412720-43150472
34,0,35,186,0,6,412729-412720-43150472
27,0,50,21,1,6,412729-412720-43150472
69,0,85,91,1,6,412729-412720-43150472
49,0,60,89,1,6,412729-412720-43150472
80,0,85,157,1,6,412729-412720-43150472
24,0,35,29,1,6,412729-412720-43150472
33,0,80,14,1,6,412729-412720-43150472
28,0,30,179,0,6,412729-412720-43150472
34,0,50,30,1,6,412729-412720-43150472
25,0,30,80,1,6,412729-412720-43150472
41,0,75,20,1,6,412729-412720-43150472
54,0,60,111,1,6,412729-412720-43150472
54,0,80,30,1,6,412729-412720-43150472
22,0,25,136,0,6,412729-412720-43150472
20,0,55,7,1,6,412729-412720-43150472
54,0,55,117,0,7,412729-412720-42949498
55,0,75,61,1,7,412729-412720-42949498
19,0,25,53,0,7,412729-412720-42949498
31,0,85,7,1,7,412729-412720-42949498
14,0,25,19,1,7,412729-412720-42949498
47,0,50,160,0,7,412729-412720-42949498
15,0,35,13,1,7,412729-412720-42949498
25,0,60,14,1,7,412729-412720-42949498
78,0,80,162,0,7,412729-412720-42949498
40,0,55,62,1,7,412729-412720-42949498
11,0,30,7,1,7,412729-412720-42949498
67,0,75,119,0,7,412729-412720-42949498
34,0,35,186,0,7,412729-412720-42949498
27,0,50,21,1,7,412729-412720-42949498
69,0,85,91,1,7,412729-412720-42949498
49,0,60,89,1,7,412729-412720-42949498
80,0,85,157,0,7,412729-412720-42949498
24,0,35,29,1,7,412729-412720-42949498
33,0,80,14,1,7,412729-412720-42949498
28,0,30,179,0,7,412729-412720-42949498
34,0,50,30,1,7,412729-412720-42949498
25,0,30,80,0,7,412729-412720-42949498
41,0,75,20,1,7,412729-412720-42949498
54,0,60,111,0,7,412729-412720-42949498
54,0,80,30,1,7,412729-412720-42949498
22,0,25,136,0,7,412729-412720-42949498
20,0,55,7,1,7,412729-412720-42949498
54,0,55,117,0,8,412729-412720-43030951
55,0,75,61,1,8,412729-412720-43030951
19,0,25,53,1,8,412729-412720-43030951
31,0,85,7,1,8,412729-412720-43030951
14,0,25,19,1,8,412729-412720-43030951
47,0,50,160,1,8,412729-412720-43030951
15,0,35,13,1,8,412729-412720-43030951
25,0,60,14,1,8,412729-412720-43030951
78,0,80,162,0,8,412729-412720-43030951
40,0,55,62,1,8,412729-412720-43030951
11,0,30,7,1,8,412729-412720-43030951
67,0,75,119,1,8,412729-412720-43030951
34,0,35,186,0,8,412729-412720-43030951
27,0,50,21,1,8,412729-412720-43030951
69,0,85,91,1,8,412729-412720-43030951
49,0,60,89,1,8,412729-412720-43030951
80,0,85,157,0,8,412729-412720-43030951
24,0,35,29,1,8,412729-412720-43030951
33,0,80,14,1,8,412729-412720-43030951
28,0,30,179,0,8,412729-412720-43030951
34,0,50,30,1,8,412729-412720-43030951
25,0,30,80,1,8,412729-412720-43030951
41,0,75,20,1,8,412729-412720-43030951
54,0,60,111,0,8,412729-412720-43030951
54,0,80,30,1,8,412729-412720-43030951
22,0,25,136,0,8,412729-412720-43030951
20,0,55,7,1,8,412729-412720-43030951
54,0,55,117,0,9,412729-412720-42623126
55,0,75,61,1,9,412729-412720-42623126
19,0,25,53,0,9,412729-412720-42623126
31,0,85,7,1,9,412729-412720-42623126
14,0,25,19,1,9,412729-412720-42623126
47,0,50,160,0,9,412729-412720-42623126
15,0,35,13,1,9,412729-412720-42623126
25,0,60,14,1,9,412729-412720-42623126
78,0,80,162,0,9,412729-412720-42623126
40,0,55,62,0,9,412729-412720-42623126
11,0,30,7,1,9,412729-412720-42623126
67,0,75,119,0,9,412729-412720-42623126
34,0,35,186,0,9,412729-412720-42623126
27,0,50,21,1,9,412729-412720-42623126
69,0,85,91,0,9,412729-412720-42623126
49,0,60,89,0,9,412729-412720-42623126
80,0,85,157,0,9,412729-412720-42623126
24,0,35,29,0,9,412729-412720-42623126
33,0,80,14,1,9,412729-412720-42623126
28,0,30,179,0,9,412729-412720-42623126
34,0,50,30,1,9,412729-412720-42623126
25,0,30,80,0,9,412729-412720-42623126
41,0,75,20,1,9,412729-412720-42623126
54,0,60,111,0,9,412729-412720-42623126
54,0,80,30,1,9,412729-412720-42623126
22,0,25,136,0,9,412729-412720-42623126
20,0,55,7,1,9,412729-412720-42623126
54,0,55,117,0,10,412729-412720-43236744
55,0,75,61,0,10,412729-412720-43236744
19,0,25,53,0,10,412729-412720-43236744
31,0,85,7,1,10,412729-412720-43236744
14,0,25,19,0,10,412729-412720-43236744
47,0,50,160,0,10,412729-412720-43236744
15,0,35,13,0,10,412729-412720-43236744
25,0,60,14,1,10,412729-412720-43236744
78,0,80,162,0,10,412729-412720-43236744
40,0,55,62,0,10,412729-412720-43236744
11,0,30,7,1,10,412729-412720-43236744
67,0,75,119,0,10,412729-412720-43236744
34,0,35,186,0,10,412729-412720-43236744
27,0,50,21,0,10,412729-412720-43236744
69,0,85,91,0,10,412729-412720-43236744
49,0,60,89,0,10,412729-412720-43236744
80,0,85,157,0,10,412729-412720-43236744
24,0,35,29,0,10,412729-412720-43236744
33,0,80,14,1,10,412729-412720-43236744
28,0,30,179,0,10,412729-412720-43236744
34,0,50,30,0,10,412729-412720-43236744
25,0,30,80,0,10,412729-412720-43236744
41,0,75,20,0,10,412729-412720-43236744
54,0,60,111,0,10,412729-412720-43236744
54,0,80,30,0,10,412729-412720-43236744
22,0,25,136,0,10,412729-412720-43236744
20,0,55,7,1,10,412729-412720-43236744
54,0,55,117,0,11,412729-412720-43159156
55,0,75,61,1,11,412729-412720-43159156
19,0,25,53,0,11,412729-412720-43159156
31,0,85,7,1,11,412729-412720-43159156
14,0,25,19,1,11,412729-412720-43159156
47,0,50,160,0,11,412729-412720-43159156
15,0,35,13,1,11,412729-412720-43159156
25,0,60,14,1,11,412729-412720-43159156
78,0,80,162,0,11,412729-412720-43159156
40,0,55,62,1,11,412729-412720-43159156
11,0,30,7,1,11,412729-412720-43159156
67,0,75,119,0,11,412729-412720-43159156
34,0,35,186,0,11,412729-412720-43159156
27,0,50,21,1,11,412729-412720-43159156
69,0,85,91,1,11,412729-412720-43159156
49,0,60,89,1,11,412729-412720-43159156
80,0,85,157,0,11,412729-412720-43159156
24,0,35,29,1,11,412729-412720-43159156
33,0,80,14,1,11,412729-412720-43159156
28,0,30,179,0,11,412729-412720-43159156
34,0,50,30,1,11,412729-412720-43159156
25,0,30,80,0,11,412729-412720-43159156
41,0,75,20,1,11,412729-412720-43159156
54,0,60,111,0,11,412729-412720-43159156
54,0,80,30,1,11,412729-412720-43159156
22,0,25,136,0,11,412729-412720-43159156
20,0,55,7,1,11,412729-412720-43159156
54,0,55,117,0,12,412729-412720-42947408
55,0,75,61,1,12,412729-412720-42947408
19,0,25,53,0,12,412729-412720-42947408
31,0,85,7,1,12,412729-412720-42947408
14,0,25,19,1,12,412729-412720-42947408
47,0,50,160,0,12,412729-412720-42947408
15,0,35,13,1,12,412729-412720-42947408
25,0,60,14,1,12,412729-412720-42947408
78,0,80,162,0,12,412729-412720-42947408
40,0,55,62,0,12,412729-412720-42947408
11,0,30,7,1,12,412729-412720-42947408
67,0,75,119,0,12,412729-412720-42947408
34,0,35,186,0,12,412729-412720-42947408
27,0,50,21,1,12,412729-412720-42947408
69,0,85,91,0,12,412729-412720-42947408
49,0,60,89,0,12,412729-412720-42947408
80,0,85,157,0,12,412729-412720-42947408
24,0,35,29,1,12,412729-412720-42947408
33,0,80,14,1,12,412729-412720-42947408
28,0,30,179,0,12,412729-412720-42947408
34,0,50,30,1,12,412729-412720-42947408
25,0,30,80,0,12,412729-412720-42947408
41,0,75,20,1,12,412729-412720-42947408
54,0,60,111,0,12,412729-412720-42947408
54,0,80,30,1,12,412729-412720-42947408
22,0,25,136,0,12,412729-412720-42947408
20,0,55,7,1,12,412729-412720-42947408
54,0,55,117,0,13,412729-412720-42849261
55,0,75,61,1,13,412729-412720-42849261
19,0,25,53,0,13,412729-412720-42849261
31,0,85,7,1,13,412729-412720-42849261
14,0,25,19,1,13,412729-412720-42849261
47,0,50,160,0,13,412729-412720-42849261
15,0,35,13,1,13,412729-412720-42849261
25,0,60,14,1,13,412729-412720-42849261
78,0,80,162,0,13,412729-412720-42849261
40,0,55,62,1,13,412729-412720-42849261
11,0,30,7,1,13,412729-412720-42849261
67,0,75,119,0,13,412729-412720-42849261
34,0,35,186,0,13,412729-412720-42849261
27,0,50,21,1,13,412729-412720-42849261
69,0,85,91,1,13,412729-412720-42849261
49,0,60,89,0,13,412729-412720-42849261
80,0,85,157,0,13,412729-412720-42849261
24,0,35,29,1,13,412729-412720-42849261
33,0,80,14,1,13,412729-412720-42849261
28,0,30,179,0,13,412729-412720-42849261
34,0,50,30,1,13,412729-412720-42849261
25,0,30,80,0,13,412729-412720-42849261
41,0,75,20,1,13,412729-412720-42849261
54,0,60,111,0,13,412729-412720-42849261
54,0,80,30,1,13,412729-412720-42849261
22,0,25,136,0,13,412729-412720-42849261
20,0,55,7,1,13,412729-412720-42849261
54,0,55,117,0,14,412729-412720-43185971
55,0,75,61,0,14,412729-412720-43185971
19,0,25,53,0,14,412729-412720-43185971
31,0,85,7,1,14,412729-412720-43185971
14,0,25,19,0,14,412729-412720-43185971
47,0,50,160,0,14,412729-412720-43185971
15,0,35,13,0,14,412729-412720-43185971
25,0,60,14,1,14,412729-412720-43185971
78,0,80,162,0,14,412729-412720-43185971
40,0,55,62,0,14,412729-412720-43185971
11,0,30,7,1,14,412729-412720-43185971
67,0,75,119,0,14,412729-412720-43185971
34,0,35,186,0,14,412729-412720-43185971
27,0,50,21,0,14,412729-412720-43185971
69,0,85,91,0,14,412729-412720-43185971
49,0,60,89,0,14,412729-412720-43185971
80,0,85,157,0,14,412729-412720-43185971
24,0,35,29,0,14,412729-412720-43185971
33,0,80,14,1,14,412729-412720-43185971
28,0,30,179,0,14,412729-412720-43185971
34,0,50,30,0,14,412729-412720-43185971
25,0,30,80,0,14,412729-412720-43185971
41,0,75,20,0,14,412729-412720-43185971
54,0,60,111,0,14,412729-412720-43185971
54,0,80,30,0,14,412729-412720-43185971
22,0,25,136,0,14,412729-412720-43185971
20,0,55,7,1,14,412729-412720-43185971
54,0,55,117,0,15,412729-412720-42728009
55,0,75,61,1,15,412729-412720-42728009
19,0,25,53,0,15,412729-412720-42728009
31,0,85,7,1,15,412729-412720-42728009
14,0,25,19,0,15,412729-412720-42728009
47,0,50,160,0,15,412729-412720-42728009
15,0,35,13,1,15,412729-412720-42728009
25,0,60,14,1,15,412729-412720-42728009
78,0,80,162,0,15,412729-412720-42728009
40,0,55,62,0,15,412729-412720-42728009
11,0,30,7,1,15,412729-412720-42728009
67,0,75,119,0,15,412729-412720-42728009
34,0,35,186,0,15,412729-412720-42728009
27,0,50,21,1,15,412729-412720-42728009
69,0,85,91,0,15,412729-412720-42728009
49,0,60,89,0,15,412729-412720-42728009
80,0,85,157,0,15,412729-412720-42728009
24,0,35,29,0,15,412729-412720-42728009
33,0,80,14,1,15,412729-412720-42728009
28,0,30,179,0,15,412729-412720-42728009
34,0,50,30,0,15,412729-412720-42728009
25,0,30,80,0,15,412729-412720-42728009
41,0,75,20,1,15,412729-412720-42728009
54,0,60,111,0,15,412729-412720-42728009
54,0,80,30,1,15,412729-412720-42728009
22,0,25,136,0,15,412729-412720-42728009
20,0,55,7,1,15,412729-412720-42728009
54,0,55,117,0,16,412729-412720-43159566
55,0,75,61,1,16,412729-412720-43159566
19,0,25,53,0,16,412729-412720-43159566
31,0,85,7,1,16,412729-412720-43159566
14,0,25,19,1,16,412729-412720-43159566
47,0,50,160,0,16,412729-412720-43159566
15,0,35,13,1,16,412729-412720-43159566
25,0,60,14,1,16,412729-412720-43159566
78,0,80,162,0,16,412729-412720-43159566
40,0,55,62,1,16,412729-412720-43159566
11,0,30,7,1,16,412729-412720-43159566
67,0,75,119,0,16,412729-412720-43159566
34,0,35,186,0,16,412729-412720-43159566
27,0,50,21,1,16,412729-412720-43159566
69,0,85,91,1,16,412729-412720-43159566
49,0,60,89,1,16,412729-412720-43159566
80,0,85,157,0,16,412729-412720-43159566
24,0,35,29,1,16,412729-412720-43159566
33,0,80,14,1,16,412729-412720-43159566
28,0,30,179,0,16,412729-412720-43159566
34,0,50,30,1,16,412729-412720-43159566
25,0,30,80,0,16,412729-412720-43159566
41,0,75,20,1,16,412729-412720-43159566
54,0,60,111,1,16,412729-412720-43159566
54,0,80,30,1,16,412729-412720-43159566
22,0,25,136,0,16,412729-412720-43159566
20,0,55,7,1,16,412729-412720-43159566
54,0,55,117,0,17,412729-412720-42643280
55,0,75,61,0,17,412729-412720-42643280
19,0,25,53,0,17,412729-412720-42643280
31,0,85,7,1,17,412729-412720-42643280
14,0,25,19,0,17,412729-412720-42643280
47,0,50,160,0,17,412729-412720-42643280
15,0,35,13,1,17,412729-412720-42643280
25,0,60,14,1,17,412729-412720-42643280
78,0,80,162,0,17,412729-412720-42643280
40,0,55,62,0,17,412729-412720-42643280
11,0,30,7,1,17,412729-412720-42643280
67,0,75,119,0,17,412729-412720-42643280
34,0,35,186,0,17,412729-412720-42643280
27,0,50,21,1,17,412729-412720-42643280
69,0,85,91,0,17,412729-412720-42643280
49,0,60,89,0,17,412729-412720-42643280
80,0,85,157,0,17,412729-412720-42643280
24,0,35,29,0,17,412729-412720-42643280
33,0,80,14,1,17,412729-412720-42643280
28,0,30,179,0,17,412729-412720-42643280
34,0,50,30,0,17,412729-412720-42643280
25,0,30,80,0,17,412729-412720-42643280
41,0,75,20,1,17,412729-412720-42643280
54,0,60,111,0,17,412729-412720-42643280
54,0,80,30,0,17,412729-412720-42643280
22,0,25,136,0,17,412729-412720-42643280
20,0,55,7,1,17,412729-412720-42643280
54,0,55,117,0,18,412729-412720-42623443
55,0,75,61,0,18,412729-412720-42623443
19,0,25,53,0,18,412729-412720-42623443
31,0,85,7,1,18,412729-412720-42623443
14,0,25,19,0,18,412729-412720-42623443
47,0,50,160,0,18,412729-412720-42623443
15,0,35,13,1,18,412729-412720-42623443
25,0,60,14,0,18,412729-412720-42623443
78,0,80,162,0,18,412729-412720-42623443
40,0,55,62,0,18,412729-412720-42623443
11,0,30,7,1,18,412729-412720-42623443
67,0,75,119,0,18,412729-412720-42623443
34,0,35,186,0,18,412729-412720-42623443
27,0,50,21,0,18,412729-412720-42623443
69,0,85,91,0,18,412729-412720-42623443
49,0,60,89,0,18,412729-412720-42623443
80,0,85,157,0,18,412729-412720-42623443
24,0,35,29,0,18,412729-412720-42623443
33,0,80,14,1,18,412729-412720-42623443
28,0,30,179,0,18,412729-412720-42623443
34,0,50,30,0,18,412729-412720-42623443
25,0,30,80,0,18,412729-412720-42623443
41,0,75,20,1,18,412729-412720-42623443
54,0,60,111,0,18,412729-412720-42623443
54,0,80,30,1,18,412729-412720-42623443
22,0,25,136,0,18,412729-412720-42623443
20,0,55,7,1,18,412729-412720-42623443
54,0,55,117,0,19,412729-412720-42622623
55,0,75,61,1,19,412729-412720-42622623
19,0,25,53,1,19,412729-412720-42622623
31,0,85,7,1,19,412729-412720-42622623
14,0,25,19,1,19,412729-412720-42622623
47,0,50,160,0,19,412729-412720-42622623
15,0,35,13,1,19,412729-412720-42622623
25,0,60,14,1,19,412729-412720-42622623
78,0,80,162,0,19,412729-412720-42622623
40,0,55,62,1,19,412729-412720-42622623
11,0,30,7,1,19,412729-412720-42622623
67,0,75,119,1,19,412729-412720-42622623
34,0,35,186,0,19,412729-412720-42622623
27,0,50,21,1,19,412729-412720-42622623
69,0,85,91,1,19,412729-412720-42622623
49,0,60,89,1,19,412729-412720-42622623
80,0,85,157,0,19,412729-412720-42622623
24,0,35,29,1,19,412729-412720-42622623
33,0,80,14,1,19,412729-412720-42622623
28,0,30,179,0,19,412729-412720-42622623
34,0,50,30,1,19,412729-412720-42622623
25,0,30,80,1,19,412729-412720-42622623
41,0,75,20,1,19,412729-412720-42622623
54,0,60,111,0,19,412729-412720-42622623
54,0,80,30,1,19,412729-412720-42622623
22,0,25,136,0,19,412729-412720-42622623
20,0,55,7,1,19,412729-412720-42622623
54,0,55,117,0,20,412729-412720-42304519
55,0,75,61,1,20,412729-412720-42304519
19,0,25,53,1,20,412729-412720-42304519
31,0,85,7,1,20,412729-412720-42304519
14,0,25,19,1,20,412729-412720-42304519
47,0,50,160,0,20,412729-412720-42304519
15,0,35,13,1,20,412729-412720-42304519
25,0,60,14,1,20,412729-412720-42304519
78,0,80,162,0,20,412729-412720-42304519
40,0,55,62,1,20,412729-412720-42304519
11,0,30,7,1,20,412729-412720-42304519
67,0,75,119,1,20,412729-412720-42304519
34,0,35,186,0,20,412729-412720-42304519
27,0,50,21,1,20,412729-412720-42304519
69,0,85,91,1,20,412729-412720-42304519
49,0,60,89,1,20,412729-412720-42304519
80,0,85,157,0,20,412729-412720-42304519
24,0,35,29,1,20,412729-412720-42304519
33,0,80,14,1,20,412729-412720-42304519
28,0,30,179,0,20,412729-412720-42304519
34,0,50,30,1,20,412729-412720-42304519
25,0,30,80,1,20,412729-412720-42304519
41,0,75,20,1,20,412729-412720-42304519
54,0,60,111,0,20,412729-412720-42304519
54,0,80,30,1,20,412729-412720-42304519
22,0,25,136,0,20,412729-412720-42304519
20,0,55,7,1,20,412729-412720-42304519
54,0,55,117,0,21,412729-412720-42306598
55,0,75,61,1,21,412729-412720-42306598
19,0,25,53,0,21,412729-412720-42306598
31,0,85,7,1,21,412729-412720-42306598
14,0,25,19,1,21,412729-412720-42306598
47,0,50,160,0,21,412729-412720-42306598
15,0,35,13,1,21,412729-412720-42306598
25,0,60,14,1,21,412729-412720-42306598
78,0,80,162,0,21,412729-412720-42306598
40,0,55,62,0,21,412729-412720-42306598
11,0,30,7,1,21,412729-412720-42306598
67,0,75,119,0,21,412729-412720-42306598
34,0,35,186,0,21,412729-412720-42306598
27,0,50,21,1,21,412729-412720-42306598
69,0,85,91,1,21,412729-412720-42306598
49,0,60,89,1,21,412729-412720-42306598
80,0,85,157,0,21,412729-412720-42306598
24,0,35,29,1,21,412729-412720-42306598
33,0,80,14,1,21,412729-412720-42306598
28,0,30,179,0,21,412729-412720-42306598
34,0,50,30,1,21,412729-412720-42306598
25,0,30,80,0,21,412729-412720-42306598
41,0,75,20,1,21,412729-412720-42306598
54,0,60,111,0,21,412729-412720-42306598
54,0,80,30,1,21,412729-412720-42306598
22,0,25,136,0,21,412729-412720-42306598
20,0,55,7,1,21,412729-412720-42306598
54,0,55,117,0,22,412729-412720-42629482
55,0,75,61,1,22,412729-412720-42629482
19,0,25,53,0,22,412729-412720-42629482
31,0,85,7,1,22,412729-412720-42629482
14,0,25,19,1,22,412729-412720-42629482
47,0,50,160,0,22,412729-412720-42629482
15,0,35,13,1,22,412729-412720-42629482
25,0,60,14,1,22,412729-412720-42629482
78,0,80,162,0,22,412729-412720-42629482
40,0,55,62,0,22,412729-412720-42629482
11,0,30,7,1,22,412729-412720-42629482
67,0,75,119,0,22,412729-412720-42629482
34,0,35,186,0,22,412729-412720-42629482
27,0,50,21,1,22,412729-412720-42629482
69,0,85,91,1,22,412729-412720-42629482
49,0,60,89,0,22,412729-412720-42629482
80,0,85,157,0,22,412729-412720-42629482
24,0,35,29,1,22,412729-412720-42629482
33,0,80,14,1,22,412729-412720-42629482
28,0,30,179,0,22,412729-412720-42629482
34,0,50,30,1,22,412729-412720-42629482
25,0,30,80,0,22,412729-412720-42629482
41,0,75,20,1,22,412729-412720-42629482
54,0,60,111,0,22,412729-412720-42629482
54,0,80,30,1,22,412729-412720-42629482
22,0,25,136,0,22,412729-412720-42629482
20,0,55,7,1,22,412729-412720-42629482
54,0,55,117,0,23,412729-412720-42622201
55,0,75,61,1,23,412729-412720-42622201
19,0,25,53,0,23,412729-412720-42622201
31,0,85,7,1,23,412729-412720-42622201
14,0,25,19,1,23,412729-412720-42622201
47,0,50,160,0,23,412729-412720-42622201
15,0,35,13,1,23,412729-412720-42622201
25,0,60,14,1,23,412729-412720-42622201
78,0,80,162,0,23,412729-412720-42622201
40,0,55,62,0,23,412729-412720-42622201
11,0,30,7,1,23,412729-412720-42622201
67,0,75,119,0,23,412729-412720-42622201
34,0,35,186,0,23,412729-412720-42622201
