id,participant_number,logk_weight,wcq_percent_predicted
166,412729-412720-43266621,-4.250963211650204,0.9259259259259259
167,412729-412720-42305263,-4.367126478519285,1.0
168,412729-412720-42641683,-4.6077331706901585,0.8148148148148148
169,412729-412720-42948241,-4.947889158482259,0.9259259259259259
170,412729-412720-42950577,-4.625369213838642,0.9629629629629629
171,412729-412720-42946868,-7.484584105227313,0.5185185185185185
172,412729-412720-43151952,-6.115365198572809,0.8888888888888888
173,412729-412720-42944728,-4.943694457249107,0.8518518518518519
174,412729-412720-42623322,-3.599472582651271,0.9629629629629629
175,412729-412720-43237457,-5.4370794515221,0.9259259259259259
176,412729-412720-42851062,-4.141798075892364,0.8888888888888888
177,412729-412720-42626384,-4.04120638822148,0.8888888888888888
178,412729-412720-42946670,-3.728151231097886,0.9629629629629629
179,412729-412720-42632986,-1.8517177487333327,0.8888888888888888
180,412729-412720-42945695,-2.626024287028168,1.0
181,412729-412720-43237610,-3.938493172104213,0.8888888888888888
182,412729-412720-42950156,-4.5989287471207625,0.8888888888888888
183,412729-412720-42635901,-4.6211846524669475,0.9629629629629629
184,412729-412720-42950790,-6.169490350714806,0.9259259259259259
185,412729-412720-42624622,-0.7261343132093225,1.0
186,412729-412720-42625952,-3.1640479321581765,0.8888888888888888
187,412729-412720-42649549,-4.3841254009852495,0.8148148148148148
188,412729-412720-42634595,-4.0974879696622635,0.8888888888888888
189,412729-412720-42945254,-3.0183867831346087,0.9629629629629629
190,412729-412720-42653222,-4.543094176919364,0.9259259259259259
191,412729-412720-42950216,-7.693256336823419,0.8888888888888888
192,412729-412720-43158111,-3.134666310626558,0.9629629629629629
193,412729-412720-42633005,-4.649624483427993,0.9259259259259259
194,412729-412720-42948158,-7.700688289673675,0.8888888888888888
195,412729-412720-42653998,-5.523888262467062,0.9629629629629629
196,412729-412720-43153431,-3.627979810791855,0.9259259259259259
197,412729-412720-42675455,-4.143053356353499,0.8888888888888888
198,412729-412720-42628198,-5.640556102143491,0.8518518518518519
199,412729-412720-42626190,-4.807517230400743,0.9259259259259259
200,412729-412720-43153512,-3.8328872173117006,0.9259259259259259
201,412729-412720-42949798,-3.5356929608791683,0.7037037037037037
202,412729-412720-43033137,-4.16959479229267,0.9629629629629629
203,412729-412720-43262352,-5.365446741670862,0.8888888888888888
204,412729-412720-43155023,-5.239639296811831,0.8148148148148148
205,412729-412720-42506824,-4.492784662371032,0.8518518518518519
206,412729-412720-42645806,-3.3675037697261474,1.0
207,412729-412720-42496965,-4.784853777984848,0.8148148148148148
208,412729-412720-42852835,-6.105177991679698,0.8888888888888888
209,412729-412720-42949556,-7.6984029985072535,0.8888888888888888
210,412729-412720-42637734,-2.5822831457391815,0.8148148148148148
211,412729-412720-42950018,-4.788980262667249,0.8148148148148148
212,412729-412720-42304538,-4.42936856352717,0.8888888888888888
213,412729-412720-43153048,-2.6285122104737666,1.0
214,412729-412720-42633431,-4.720961788763513,0.9259259259259259
215,412729-412720-42623967,-7.709880588299928,0.8888888888888888
216,412729-412720-42683140,-4.3691278557405075,0.8518518518518519
217,412729-412720-42622052,-2.586973017870703,0.9259259259259259
218,412729-412720-42625492,-0.7258268484534071,1.0
219,412729-412720-42624568,-4.072767063446495,0.9629629629629629
220,412729-412720-42946872,-4.391599115254332,0.8518518518518519
221,412729-412720-42645421,-5.051951258267791,0.8518518518518519
222,412729-412720-42634914,-3.7330786691358324,0.8518518518518519
223,412729-412720-42709004,-3.3624993632433413,0.8888888888888888
224,412729-412720-42949276,-3.9442246937711913,0.8888888888888888
225,412729-412720-42949039,-3.9375507412490744,0.8888888888888888
226,412729-412720-42633919,-4.393726708479706,0.8888888888888888
227,412729-412720-42714185,-3.254112823360084,0.9629629629629629
228,412729-412720-42625119,-4.829424464617236,0.9259259259259259
229,412729-412720-42289671,-4.238347520946808,0.8888888888888888
230,412729-412720-42633437,-7.705149525805474,0.8888888888888888
231,412729-412720-42636039,-4.551771048600318,0.7777777777777778
232,412729-412720-42949969,-5.440343022510246,0.9259259259259259
233,412729-412720-42306532,-3.1194405333783384,0.8888888888888888
234,412729-412720-42652967,-4.831842972956274,0.8518518518518519
235,412729-412720-42634336,-4.0754248117170295,0.9629629629629629
236,412729-412720-42682781,-6.997489551787368,0.9629629629629629
237,412729-412720-42946200,-4.250595602909289,0.9259259259259259
238,412729-412720-42622507,-7.712947689268578,0.8888888888888888
239,412729-412720-43153174,-3.8578345408704466,0.8518518518518519
240,412729-412720-42651954,-3.2561984247813855,0.9629629629629629
241,412729-412720-42945241,-2.629326147070577,1.0
242,412729-412720-42950690,-4.410614193737859,0.8148148148148148
243,412729-412720-42305899,-4.218141860615781,0.9629629629629629
244,412729-412720-42947342,-2.3090054508102567,0.9259259259259259
245,412729-412720-42968365,-7.227126750419633,0.9259259259259259
246,412729-412720-42622235,-2.7578846495300735,0.9259259259259259
247,412729-412720-42949344,-3.0147058592561127,0.9629629629629629
248,412729-412720-43153379,-4.237597949741099,0.8888888888888888
249,412729-412720-42656064,-3.2550683310690185,0.9629629629629629
250,412729-412720-42947282,-7.176619393380975,0.5925925925925926
251,412729-412720-42947500,-3.2513416217701634,0.9629629629629629
252,412729-412720-42622504,-4.25131481333504,0.9259259259259259
253,412729-412720-42306968,-3.6192908209680574,0.8888888888888888
254,412729-412720-42641936,-4.741777572873544,0.9259259259259259
255,412729-412720-42946430,-3.014560945213351,0.9629629629629629
256,412729-412720-42949989,-3.6487714585130036,0.8518518518518519
257,412729-412720-42642864,-3.4042303293166367,0.8888888888888888
258,412729-412720-42950364,-4.607211970203822,0.8888888888888888
259,412729-412720-42643766,-4.749219467808698,0.9259259259259259
260,412729-412720-42709994,-3.564913166443885,0.9259259259259259
