RA,DA,RB,DB
2.4,0,2.5,117
2.5,0,3.4,61
0.8,0,1.1,53
1.4,0,3.9,7
0.6,0,1.1,19
2.1,0,2.3,160
0.7,0,1.6,13
2.5,0,2.7,14
1.1,0,3.6,162
1.8,0,2.5,62
0.5,0,1.4,7
3,0,3.4,119
1.5,0,1.6,186
1.2,0,2.2,21
3.1,0,3.9,91
2.2,0,2.7,89
3.6,0,3.9,157
1,0,1.6,29
1.5,0,3.6,14
1.3,0,1.4,179
1.5,0,2.3,30
1.1,0,1.4,80
1.9,0,3.4,20
2.4,0,2.7,111
2.4,0,3.6,30
1,0,1.1,136
0.9,0,2.5,7
